Record length: 1	Cumulative probability: 1
Record length: 2	Cumulative probability: 0.99
Record length: 3	Cumulative probability: 0.938226
Record length: 4	Cumulative probability: 0.812374
Record length: 5	Cumulative probability: 0.619388
Record length: 6	Cumulative probability: 0.408184
Record length: 7	Cumulative probability: 0.231467
Record length: 8	Cumulative probability: 0.113317
Record length: 9	Cumulative probability: 0.0482157
Record length: 10	Cumulative probability: 0.0179712
Record length: 11	Cumulative probability: 0.00591375
Record length: 12	Cumulative probability: 0.00173082
Record length: 13	Cumulative probability: 0.000453602
Record length: 14	Cumulative probability: 0.000107096
Record length: 15	Cumulative probability: 2.29047e-05
Record length: 16	Cumulative probability: 4.45917e-06
Record length: 17	Cumulative probability: 7.93732e-07
Record length: 18	Cumulative probability: 1.29688e-07
Record length: 19	Cumulative probability: 1.95199e-08
Record length: 20	Cumulative probability: 2.71522e-09
Record length: 21	Cumulative probability: 3.50067e-10
Record length: 22	Cumulative probability: 4.19436e-11
Record length: 23	Cumulative probability: 4.68163e-12
Record length: 24	Cumulative probability: 4.87869e-13
Record length: 25	Cumulative probability: 4.75621e-14
Record length: 26	Cumulative probability: 4.34583e-15
Record length: 27	Cumulative probability: 3.72803e-16
Record length: 28	Cumulative probability: 3.00717e-17
Record length: 29	Cumulative probability: 2.28422e-18
Record length: 30	Cumulative probability: 1.63604e-19
Record length: 31	Cumulative probability: 1.10627e-20
Record length: 32	Cumulative probability: 7.07019e-22
Record length: 33	Cumulative probability: 4.27525e-23
Record length: 34	Cumulative probability: 2.44834e-24
Record length: 35	Cumulative probability: 1.32909e-25
Record length: 36	Cumulative probability: 6.84486e-27
Record length: 37	Cumulative probability: 3.34686e-28
Record length: 38	Cumulative probability: 1.55481e-29
Record length: 39	Cumulative probability: 6.86704e-31
Record length: 40	Cumulative probability: 2.88516e-32
Record length: 41	Cumulative probability: 1.15376e-33
Record length: 42	Cumulative probability: 4.39365e-35
Record length: 43	Cumulative probability: 1.59402e-36
Record length: 44	Cumulative probability: 5.51191e-38
Record length: 45	Cumulative probability: 1.81722e-39
Record length: 46	Cumulative probability: 5.71419e-41
Record length: 47	Cumulative probability: 1.71422e-42
Record length: 48	Cumulative probability: 4.90746e-44
Record length: 49	Cumulative probability: 1.34095e-45
Record length: 50	Cumulative probability: 3.49798e-47
Record length: 51	Cumulative probability: 8.7122e-49
Record length: 52	Cumulative probability: 2.07201e-50
Record length: 53	Cumulative probability: 4.70588e-52
Record length: 54	Cumulative probability: 1.02068e-53
Record length: 55	Cumulative probability: 2.11416e-55
Record length: 56	Cumulative probability: 4.18187e-57
Record length: 57	Cumulative probability: 7.8987e-59
Record length: 58	Cumulative probability: 1.42444e-60
Record length: 59	Cumulative probability: 2.45231e-62
Record length: 60	Cumulative probability: 4.02964e-64
Record length: 61	Cumulative probability: 6.31856e-66
Record length: 62	Cumulative probability: 9.45177e-68
Record length: 63	Cumulative probability: 1.3484e-69
Record length: 64	Cumulative probability: 1.83389e-71
Record length: 65	Cumulative probability: 2.37688e-73
Record length: 66	Cumulative probability: 2.93439e-75
Record length: 67	Cumulative probability: 3.44893e-77
Record length: 68	Cumulative probability: 3.85708e-79
Record length: 69	Cumulative probability: 4.10172e-81
Record length: 70	Cumulative probability: 4.14483e-83
Record length: 71	Cumulative probability: 3.97689e-85
Record length: 72	Cumulative probability: 3.62001e-87
Record length: 73	Cumulative probability: 3.1232e-89
Record length: 74	Cumulative probability: 2.55134e-91
Record length: 75	Cumulative probability: 1.97118e-93
Record length: 76	Cumulative probability: 1.43857e-95
Record length: 77	Cumulative probability: 9.90355e-98
Record length: 78	Cumulative probability: 6.42166e-100
Record length: 79	Cumulative probability: 3.91537e-102
Record length: 80	Cumulative probability: 2.2406e-104
Record length: 81	Cumulative probability: 1.20095e-106
Record length: 82	Cumulative probability: 6.01534e-109
Record length: 83	Cumulative probability: 2.80832e-111
Record length: 84	Cumulative probability: 1.21851e-113
Record length: 85	Cumulative probability: 4.8976e-116
Record length: 86	Cumulative probability: 1.81674e-118
Record length: 87	Cumulative probability: 6.19295e-121
Record length: 88	Cumulative probability: 1.93044e-123
Record length: 89	Cumulative probability: 5.47101e-126
Record length: 90	Cumulative probability: 1.40015e-128
Record length: 91	Cumulative probability: 3.2096e-131
Record length: 92	Cumulative probability: 6.52525e-134
Record length: 93	Cumulative probability: 1.16222e-136
Record length: 94	Cumulative probability: 1.78549e-139
Record length: 95	Cumulative probability: 2.31797e-142
Record length: 96	Cumulative probability: 2.47273e-145
Record length: 97	Cumulative probability: 2.0811e-148
Record length: 98	Cumulative probability: 1.29567e-151
Record length: 99	Cumulative probability: 5.30505e-155
Record length: 100	Cumulative probability: 1.07151e-158
