Average record length (analytic):	5.18738
Average record length (simulation):	5.18428
Record length: 1	Cumulative probability: 1
Record length: 2	Cumulative probability: 0.98989
Record length: 3	Cumulative probability: 0.937901
Record length: 4	Cumulative probability: 0.811406
Record length: 5	Cumulative probability: 0.61828
Record length: 6	Cumulative probability: 0.407557
Record length: 7	Cumulative probability: 0.230998
Record length: 8	Cumulative probability: 0.113562
Record length: 9	Cumulative probability: 0.048332
Record length: 10	Cumulative probability: 0.018094
Record length: 11	Cumulative probability: 0.005919
Record length: 12	Cumulative probability: 0.001732
Record length: 13	Cumulative probability: 0.000458
Record length: 14	Cumulative probability: 0.000113
Record length: 15	Cumulative probability: 3.1e-05
Record length: 16	Cumulative probability: 8e-06
Record length: 17	Cumulative probability: 1e-06
Record length: 18	Cumulative probability: 0
Record length: 19	Cumulative probability: 0
Record length: 20	Cumulative probability: 0
Record length: 21	Cumulative probability: 0
Record length: 22	Cumulative probability: 0
Record length: 23	Cumulative probability: 0
Record length: 24	Cumulative probability: 0
Record length: 25	Cumulative probability: 0
Record length: 26	Cumulative probability: 0
Record length: 27	Cumulative probability: 0
Record length: 28	Cumulative probability: 0
Record length: 29	Cumulative probability: 0
Record length: 30	Cumulative probability: 0
Record length: 31	Cumulative probability: 0
Record length: 32	Cumulative probability: 0
Record length: 33	Cumulative probability: 0
Record length: 34	Cumulative probability: 0
Record length: 35	Cumulative probability: 0
Record length: 36	Cumulative probability: 0
Record length: 37	Cumulative probability: 0
Record length: 38	Cumulative probability: 0
Record length: 39	Cumulative probability: 0
Record length: 40	Cumulative probability: 0
Record length: 41	Cumulative probability: 0
Record length: 42	Cumulative probability: 0
Record length: 43	Cumulative probability: 0
Record length: 44	Cumulative probability: 0
Record length: 45	Cumulative probability: 0
Record length: 46	Cumulative probability: 0
Record length: 47	Cumulative probability: 0
Record length: 48	Cumulative probability: 0
Record length: 49	Cumulative probability: 0
Record length: 50	Cumulative probability: 0
Record length: 51	Cumulative probability: 0
Record length: 52	Cumulative probability: 0
Record length: 53	Cumulative probability: 0
Record length: 54	Cumulative probability: 0
Record length: 55	Cumulative probability: 0
Record length: 56	Cumulative probability: 0
Record length: 57	Cumulative probability: 0
Record length: 58	Cumulative probability: 0
Record length: 59	Cumulative probability: 0
Record length: 60	Cumulative probability: 0
Record length: 61	Cumulative probability: 0
Record length: 62	Cumulative probability: 0
Record length: 63	Cumulative probability: 0
Record length: 64	Cumulative probability: 0
Record length: 65	Cumulative probability: 0
Record length: 66	Cumulative probability: 0
Record length: 67	Cumulative probability: 0
Record length: 68	Cumulative probability: 0
Record length: 69	Cumulative probability: 0
Record length: 70	Cumulative probability: 0
Record length: 71	Cumulative probability: 0
Record length: 72	Cumulative probability: 0
Record length: 73	Cumulative probability: 0
Record length: 74	Cumulative probability: 0
Record length: 75	Cumulative probability: 0
Record length: 76	Cumulative probability: 0
Record length: 77	Cumulative probability: 0
Record length: 78	Cumulative probability: 0
Record length: 79	Cumulative probability: 0
Record length: 80	Cumulative probability: 0
Record length: 81	Cumulative probability: 0
Record length: 82	Cumulative probability: 0
Record length: 83	Cumulative probability: 0
Record length: 84	Cumulative probability: 0
Record length: 85	Cumulative probability: 0
Record length: 86	Cumulative probability: 0
Record length: 87	Cumulative probability: 0
Record length: 88	Cumulative probability: 0
Record length: 89	Cumulative probability: 0
Record length: 90	Cumulative probability: 0
Record length: 91	Cumulative probability: 0
Record length: 92	Cumulative probability: 0
Record length: 93	Cumulative probability: 0
Record length: 94	Cumulative probability: 0
Record length: 95	Cumulative probability: 0
Record length: 96	Cumulative probability: 0
Record length: 97	Cumulative probability: 0
Record length: 98	Cumulative probability: 0
Record length: 99	Cumulative probability: 0
Record length: 100	Cumulative probability: 0
